"year","sex","age","deaths"
2007,"male",35,63.6018508811473
2007,"male",40,85.8120210301194
2007,"male",45,98.9362124817847
2007,"male",50,113.06995712204
2007,"male",55,98.9362124817847
2007,"male",60,113.06995712204
2007,"male",65,135.280127271012
2007,"male",70,128.213254950884
2007,"male",75,155.471191042805
2007,"male",80,152.442531477036
2007,"male",85,269.550701353434
2008,"male",0,70.0571596935769
2008,"male",1,14.2144961697113
2008,"male",5,11.1685327047731
2008,"male",10,15.2298173246906
2008,"male",15,30.4596346493813
2008,"male",20,30.4596346493813
2008,"male",25,38.5822038892163
2008,"male",30,53.8120212139069
2008,"male",35,69.0418385385975
2008,"male",40,64.98055391868
2008,"male",45,81.22569239835
2008,"male",50,87.3176193282263
2008,"male",55,108.639363582793
2008,"male",60,121.838538597525
2008,"male",65,150.267530936948
2008,"male",70,168.543311726576
2008,"male",75,182.757807896288
2008,"male",80,147.221567472009
2008,"male",85,277.182675309369
2009,"male",0,78.2537900056148
2009,"male",1,11.179112857945
2009,"male",5,11.179112857945
2009,"male",10,6.09769792251544
2009,"male",15,25.4070746771477
2009,"male",20,41.6676024705222
2009,"male",25,50.8141493542953
2009,"male",30,58.9444132509826
2009,"male",35,65.042111173498
2009,"male",40,89.4329028635598
2009,"male",45,74.1886580572712
2009,"male",50,101.628298708591
2009,"male",55,103.660864682762
2009,"male",60,152.442448062886
2009,"male",65,160.572711959573
2009,"male",70,166.670409882089
2009,"male",75,182.930937675463
2009,"male",80,150.409882088714
2009,"male",85,279.477821448624
2010,"male",0,69.6019690345961
2010,"male",1,13.2023036392599
2010,"male",5,8.12449454723686
2010,"male",10,6.09337091042764
2010,"male",15,32.4979781889474
2010,"male",20,45.7002818282073
2010,"male",25,48.7469672834211
2010,"male",30,57.8870236490626
2010,"male",35,94.4472491116285
2010,"male",40,86.3227545643916
2010,"male",45,92.4161254748193
2010,"male",50,118.820732753339
2010,"male",55,119.836294571744
2010,"male",60,151.318710942286
2010,"male",65,162.489890944737
2010,"male",70,165.536576399951
2010,"male",75,173.661070947188
2010,"male",80,159.443205489523
2010,"male",85,286.388432790099
2011,"male",0,89.6081871345029
2011,"male",1,15.2741228070175
2011,"male",5,4.07309941520468
2011,"male",10,5.09137426900585
2011,"male",15,39.7127192982456
2011,"male",20,48.8771929824561
2011,"male",25,64.1513157894737
2011,"male",30,74.3340643274854
2011,"male",35,92.6630116959064
2011,"male",40,86.5533625730994
2011,"male",45,119.138157894737
2011,"male",50,108.955409356725
2011,"male",55,140.521929824561
2011,"male",60,146.631578947368
2011,"male",65,177.179824561404
2011,"male",70,175.143274853801
2011,"male",75,177.179824561404
2011,"male",80,166.997076023392
2011,"male",85,320.756578947368
2012,"male",0,81.2427184466019
2012,"male",1,14.2174757281553
2012,"male",5,12.1864077669903
2012,"male",10,11.1708737864078
2012,"male",15,40.621359223301
2012,"male",20,69.0563106796117
2012,"male",25,89.3669902912621
2012,"male",30,107.646601941748
2012,"male",35,110.693203883495
2012,"male",40,100.53786407767
2012,"male",45,90.3825242718447
2012,"male",50,118.817475728155
2012,"male",55,155.376699029126
2012,"male",60,147.252427184466
2012,"male",65,164.516504854369
2012,"male",70,189.904854368932
2012,"male",75,194.982524271845
2012,"male",80,191.935922330097
2012,"male",85,306.691262135922
2013,"male",0,70.4894034536892
2013,"male",1,14.3021978021978
2013,"male",5,2.04317111459969
2013,"male",10,16.3453689167975
2013,"male",15,37.7986656200942
2013,"male",20,61.2951334379906
2013,"male",25,91.9427001569859
2013,"male",30,84.791601255887
2013,"male",35,96.0290423861852
2013,"male",40,113.395996860283
2013,"male",45,103.180141287284
2013,"male",50,120.547095761381
2013,"male",55,156.302590266876
2013,"male",60,149.151491365777
2013,"male",65,195.12284144427
2013,"male",70,191.036499215071
2013,"male",75,197.16601255887
2013,"male",80,206.360282574568
2013,"male",85,345.295918367347
2014,"male",0,79.1707755465641
2014,"male",1,11.6967812468062
2014,"male",5,5.07504971452334
2014,"male",10,6.09005965742801
2014,"male",15,28.4202784013307
2014,"male",20,58.8705766884708
2014,"male",25,54.8105369168521
2014,"male",30,70.0356860604221
2014,"male",35,74.0957258320408
2014,"male",40,88.3058650327062
2014,"male",45,109.621073833704
2014,"male",50,139.05636217794
2014,"male",55,154.28151132151
2014,"male",60,177.626740008317
2014,"male",65,191.836879208982
2014,"male",70,194.881909037696
2014,"male",75,225.332207324836
2014,"male",80,214.167097952885
2014,"male",85,346.118390530492
2015,"male",0,67.3101357882342
2015,"male",1,13.2279049462095
2015,"male",5,12.2103737965011
2015,"male",10,18.3155606947516
2015,"male",15,39.6837148386285
2015,"male",20,47.8239640362959
2015,"male",25,89.5427411743413
2015,"male",30,87.5076788749245
2015,"male",35,113.963488767343
2015,"male",40,123.121269114719
2015,"male",45,128.208924863261
2015,"male",50,125.156331414136
2015,"male",55,178.067951198974
2015,"male",60,181.120544648099
2015,"male",65,185.190669246933
2015,"male",70,242.172413630605
2015,"male",75,241.154882480897
2015,"male",80,266.593161223607
2015,"male",85,441.608518973456
2016,"male",0,58.69247185347
2016,"male",1,10.2969248865737
2016,"male",5,12.3563098638884
2016,"male",10,14.4156948412032
2016,"male",15,56.6330868761553
2016,"male",20,136.94910099143
2016,"male",25,142.097563434717
2016,"male",30,157.542950764577
2016,"male",35,144.156948412032
2016,"male",40,168.869568139808
2016,"male",45,140.038178457402
2016,"male",50,124.592791127542
2016,"male",55,171.958645605781
2016,"male",60,230.651117459251
2016,"male",65,196.671265333557
2016,"male",70,224.472962527306
2016,"male",75,232.710502436565
2016,"male",80,219.324500084019
2016,"male",85,342.887598722904
2017,"male",0,62.1522807017544
2017,"male",1,12.0294736842105
2017,"male",5,5.01228070175439
2017,"male",10,8.01964912280702
2017,"male",15,70.1719298245614
2017,"male",20,120.294736842105
2017,"male",25,151.370877192982
2017,"male",30,176.432280701754
2017,"male",35,174.427368421053
2017,"male",40,168.412631578947
2017,"male",45,144.353684210526
2017,"male",50,165.405263157895
2017,"male",55,168.412631578947
2017,"male",60,187.459298245614
2017,"male",65,237.582105263158
2017,"male",70,228.56
2017,"male",75,234.574736842105
2017,"male",80,202.496140350877
2017,"male",85,339.832631578947
2018,"male",0,66.0939501779359
2018,"male",1,14.0199288256228
2018,"male",5,9.01281138790036
2018,"male",10,10.0142348754448
2018,"male",15,58.0825622775801
2018,"male",20,123.175088967972
2018,"male",25,164.233451957295
2018,"male",30,162.230604982206
2018,"male",35,177.251957295374
2018,"male",40,147.209252669039
2018,"male",45,166.236298932384
2018,"male",50,167.237722419929
2018,"male",55,171.243416370107
2018,"male",60,223.31743772242
2018,"male",65,201.286120996441
2018,"male",70,226.321708185053
2018,"male",75,207.294661921708
2018,"male",80,211.300355871886
2018,"male",85,308.438434163701
2019,"male",0,46.0833333333333
2019,"male",1,11.0199275362319
2019,"male",5,6.01086956521739
2019,"male",10,7.01268115942029
2019,"male",15,56.1014492753623
2019,"male",20,124.224637681159
2019,"male",25,146.264492753623
2019,"male",30,139.251811594203
2019,"male",35,126.228260869565
2019,"male",40,154.278985507246
2019,"male",45,152.275362318841
2019,"male",50,162.29347826087
2019,"male",55,202.365942028986
2019,"male",60,234.423913043478
2019,"male",65,194.351449275362
2019,"male",70,216.391304347826
2019,"male",75,238.43115942029
2019,"male",80,186.336956521739
2019,"male",85,361.653985507246
2020,"male",0,61.0660173160173
2020,"male",1,7.00757575757576
2020,"male",5,4.004329004329
2020,"male",10,4.004329004329
2020,"male",15,59.0638528138528
2020,"male",20,96.1038961038961
2020,"male",25,160.17316017316
2020,"male",30,149.161255411255
2020,"male",35,167.180735930736
2020,"male",40,173.187229437229
2020,"male",45,207.224025974026
2020,"male",50,213.230519480519
2020,"male",55,264.285714285714
2020,"male",60,326.352813852814
2020,"male",65,336.363636363636
2020,"male",70,374.404761904762
2020,"male",75,321.347402597403
2020,"male",80,344.372294372294
2020,"male",85,431.46645021645
2021,"male",0,49.6880971013075
2021,"male",1,11.0232417098699
2021,"male",5,9.01901594443901
2021,"male",10,8.01690306172356
2021,"male",15,50.1056441357723
2021,"male",20,123.259884574
2021,"male",25,158.33383546904
2021,"male",30,155.327496820894
2021,"male",35,187.395109067788
2021,"male",40,200.422576543089
2021,"male",45,205.433140956666
2021,"male",50,277.585268512178
2021,"male",55,315.665558055365
2021,"male",60,389.821911376308
2021,"male",65,436.921216863934
2021,"male",70,421.889523623203
2021,"male",75,388.819798493593
2021,"male",80,358.756412012129
2021,"male",85,521.098699012032
2022,"male",0,49.8270464471947
2022,"male",1,4.02424257020331
2022,"male",5,3.01818192765248
2022,"male",10,12.0727277106099
2022,"male",15,85.5151546168203
2022,"male",20,127.769701603955
2022,"male",25,177.066673088946
2022,"male",30,170.02424859109
2022,"male",35,157.95152088048
2022,"male",40,180.084855016598
2022,"male",45,193.163643369759
2022,"male",50,208.254553008021
2022,"male",55,230.387887144139
2022,"male",60,280.690919271681
2022,"male",65,270.630312846173
2022,"male",70,324.957587543917
2022,"male",75,282.703040556782
2022,"male",80,293.769707624841
2022,"male",85,434.067133935146
2023,"male",0,54.0968031072602
2023,"male",1,7.01254855094114
2023,"male",5,7.01254855094114
2023,"male",10,9.01613385121004
2023,"male",15,58.103973707798
2023,"male",20,122.218703316403
2023,"male",25,147.263519569764
2023,"male",30,196.351359426352
2023,"male",35,160.286824021512
2023,"male",40,167.299372572453
2023,"male",45,186.333432925007
2023,"male",50,193.345981475949
2023,"male",55,244.437406632806
2023,"male",60,260.466089034957
2023,"male",65,303.543172990738
2023,"male",70,302.541380340604
2023,"male",75,296.530624439797
2023,"male",80,270.484015536301
2023,"male",85,366.656109949208
2024,"male",0,46.05458320973
2024,"male",1,9.01067932364284
2024,"male",5,5.00593295757935
2024,"male",10,13.0154256897063
2024,"male",15,69.0818748145951
2024,"male",20,107.126965292198
2024,"male",25,162.192227825571
2024,"male",30,147.174428952833
2024,"male",35,146.173242361317
2024,"male",40,183.217146247404
2024,"male",45,195.231385345595
2024,"male",50,203.240878077722
2024,"male",55,213.25274399288
2024,"male",60,285.338178582023
2024,"male",65,289.342924948087
2024,"male",70,297.352417680214
2024,"male",75,306.363097003856
2024,"male",80,284.336991990507
2024,"male",85,412.488875704539
1990,"female",0,131.051468069108
1990,"female",1,67.3396891775651
1990,"female",5,26.1318196808462
1990,"female",10,17.0861897913225
1990,"female",15,12.0608398526982
1990,"female",20,8.04055990179882
1990,"female",25,14.2691626426289
1990,"female",30,18.0912597790473
1990,"female",35,14.0709798281479
1990,"female",40,16.0811198035976
1990,"female",45,22.1115397299468
1990,"female",50,52.2636393616923
1990,"female",55,46.2332194353432
1990,"female",60,35.1774495703698
1990,"female",65,57.2889893003166
1990,"female",70,79.4005290302634
1990,"female",75,106.537418698834
1990,"female",80,86.4360189443373
1990,"female",85,181.523788999225
1991,"female",0,109.121582135743
1991,"female",1,26.5802468288038
1991,"female",5,10.063434796963
1991,"female",10,14.0888087157482
1991,"female",15,16.1014956751408
1991,"female",20,23.1459000330148
1991,"female",25,17.1078391548371
1991,"female",30,8.05074783757038
1991,"female",35,24.1522435127111
1991,"female",40,31.1966478705852
1991,"female",45,30.1903043908889
1991,"female",50,38.2410522284593
1991,"female",55,36.2283652690667
1991,"female",60,63.3996392208667
1991,"female",65,85.5391957741853
1991,"female",70,80.5074783757038
1991,"female",75,101.640691449326
1991,"female",80,98.6216610102371
1991,"female",85,181.141826345333
1992,"female",0,102.139633278076
1992,"female",1,29.3606647589698
1992,"female",5,10.1243671582655
1992,"female",10,7.08705701078582
1992,"female",15,24.2984811798371
1992,"female",20,15.1865507373982
1992,"female",25,8.09949372661237
1992,"female",30,13.1616773057451
1992,"female",35,17.2114241690513
1992,"female",40,19.2362976007044
1992,"female",45,32.3979749064495
1992,"female",50,38.4725952014088
1992,"female",55,37.4601584855822
1992,"female",60,62.7710763812459
1992,"female",65,91.1193044243892
1992,"female",70,96.1814880035219
1992,"female",75,96.1814880035219
1992,"female",80,103.268545014308
1992,"female",85,173.126678406339
1993,"female",0,83.0789909953363
1993,"female",1,28.21833840492
1993,"female",5,10.0779780017571
1993,"female",10,10.0779780017571
1993,"female",15,11.0857758019329
1993,"female",20,12.0935736021086
1993,"female",25,20.1559560035143
1993,"female",30,18.1403604031629
1993,"female",35,21.16375380369
1993,"female",40,21.16375380369
1993,"female",45,36.2807208063257
1993,"female",50,36.2807208063257
1993,"female",55,63.49126141107
1993,"female",60,56.43667680984
1993,"female",65,64.4990592112457
1993,"female",70,93.7251954163414
1993,"female",75,98.76418441722
1993,"female",80,95.7407910166929
1993,"female",85,167.294434829169
1994,"female",0,86.0367943548387
1994,"female",1,29.3537298387097
1994,"female",5,14.1707661290323
1994,"female",10,3.03659274193548
1994,"female",15,8.09758064516129
1994,"female",20,9.10977822580645
1994,"female",25,10.1219758064516
1994,"female",30,15.1829637096774
1994,"female",35,24.2927419354839
1994,"female",40,25.304939516129
1994,"female",45,27.3293346774194
1994,"female",50,26.3171370967742
1994,"female",55,45.5488911290323
1994,"female",60,63.7684475806452
1994,"female",65,70.8538306451613
1994,"female",70,100.207560483871
1994,"female",75,92.1099798387097
1994,"female",80,118.427116935484
1994,"female",85,172.073588709677
1995,"female",0,96.4417942328231
1995,"female",1,32.4856570047404
1995,"female",5,13.1972981581758
1995,"female",10,4.06070712559255
1995,"female",15,13.1972981581758
1995,"female",20,13.1972981581758
1995,"female",25,17.2580052837683
1995,"female",30,21.3187124093609
1995,"female",35,20.3035356279628
1995,"female",40,27.4097730977497
1995,"female",45,32.4856570047404
1995,"female",50,36.546364130333
1995,"female",55,50.7588390699069
1995,"female",60,60.9106068838883
1995,"female",65,83.2444960746473
1995,"female",70,94.4114406700268
1995,"female",75,92.3810871072305
1995,"female",80,106.593562046804
1995,"female",85,206.080886623822
1996,"female",0,75.1492984618857
1996,"female",1,23.2355622285377
1996,"female",5,6.06145101614028
1996,"female",10,8.08193468818703
1996,"female",15,12.1229020322806
1996,"female",20,8.08193468818703
1996,"female",25,11.1126601962572
1996,"female",30,17.1741112123974
1996,"female",35,25.2560459005845
1996,"female",40,17.1741112123974
1996,"female",45,25.2560459005845
1996,"female",50,37.378947932865
1996,"female",55,51.5223336371923
1996,"female",60,61.6247519974261
1996,"female",65,78.7988632098236
1996,"female",70,79.809105045847
1996,"female",75,125.269987666899
1996,"female",80,100.013941766315
1996,"female",85,223.263445761167
1997,"female",0,79.7469649805447
1997,"female",1,19.1796498054475
